year,variety,US,CA,MI,NY,OR,PA,VA,WA,OTHER
1922,Gala,49257377,2208134,2876521,2075253,1138780,443258,745561,37115014,2654855
1922,RedDelicious,35670593,,1467952,2263585,896819,669812,443791,27518737,2409897
1922,Honeycrisp,30972047,,2144920,1329903,557604,121955,67157,24696302,2054206
1922,Fuji,29090994,,1054645,1547899,1008973,860460,130168,22579476,1909372
1922,GrannySmith,27236375,,,468523,447707,288237,36582,24414059,1581267
1922,Others,24619811,,3080799,3609509,35607,1178501,351135,15241147,1123113
1922,GoldenDelicious,14525011,,2171049,1926501,201529,2634482,396219,6350478,844753
1922,PinkLady,12591268,520085,99764,156016,198686,93308,182251,10584130,757029
1922,Idared,6944088,,2080786,4248111,,297724,55312,,262154
1922,Rome,5793310,,1133031,3264783,,516191,627810,,251494
1922,McIntosh,5530903,,881246,4377186,,39131,24656,,208684
1922,York,4832857,,,185413,,3446312,972481,,228651
1922,CosmicCrisp,4657017,,,,,,,4657017,
1922,Empire,4069832,95419,432309,3217471,,125170,51389,,148073
1922,Ambrosia,3014803,,,152977,6158,8930,,2681313,165425
1922,Cortland,1908831,,,1777016,,18439,42512,,70865
1922,NewtownPippin,1637514,1581123,,,31946,1565,9765,,13115
1922,Mutsu/Crispin,1149037,,,1056518,,41919,9164,,41436
1922,Jonathan,690366,,558202,81598,,21938,181,,28448
1922,Braeburn,519126,,30879,50616,,42383,641,352804,41803
1922,Spartan,311532,,,295372,,,3703,,12457
1922,Stayman,234007,,,17517,,67160,135234,,14096
1922,RomeSport,167681,,83136,41091,,35506,,,7948
1923,Gala,46046400,2455794,5883499,2996823,1011901,580713,124230,31607307,1386133
1923,RedDelicious,34562226,,3250764,2962245,1109027,1062197,601611,22594953,2981428
1923,Fuji,26029924,607383,1441370,1231648,880625,953362,91704,19647786,1176047
1923,Others,24690720,,4067820,4342672,82596,944525,396450,13639550,1217107
1923,Honeycrisp,24568529,,621521,1118316,343587,128834,3477,22210540,142253
1923,GrannySmith,23601391,1073133,,469326,294261,423326,92501,20786788,462057
1923,GoldenDelicious,18634603,676019,3994495,2157433,180515,2499124,1035008,5695010,2397000
1923,PinkLady,11106099,347367,258385,312606,223322,192424,252988,8684891,834117
1923,Rome,10056551,,2472117,4020486,,1134965,568058,,1860925
1923,CosmicCrisp,7118763,,,,,,,7118763,
1923,Idared,6596386,,2168340,3852098,,171902,160047,,243999
1923,McIntosh,5734276,,625013,4703689,,39242,6307,,360025
1923,York,4209999,,,213351,,2503442,940793,,552414
1923,Empire,3862703,70523,600571,2984481,,27628,9686,,169815
1923,Ambrosia,2650506,,,154353,,4586,,2491567,
1923,Cortland,1385053,,,1200455,,55583,33355,,95661
1923,Mutsu/Crispin,1228947,,,1146255,,47058,9822,,25812
1923,Jonathan,872446,,719288,93890,,23264,242,,35762
1923,NewtownPippin,643711,484067,,706,40834,1103,13040,,103961
1923,Spartan,568716,,,452202,,,4942,,111572
1923,Braeburn,440276,,48884,63180,,24851,857,284751,17754
1923,Stayman,225249,,,29686,,91323,59644,,44595
1923,RomeSport,125239,,38409,17909,,42930,,,25992
1924,Gala,45115169,2346806,5773970,2386861,672613,752810,57858,31577120,1547132
1924,RedDelicious,31114490,,3762611,2042319,564756,1032898,675501,20845647,2190758
1924,Honeycrisp,27704032,,2246803,1239634,372832,132432,3269,23386062,322999
1924,Others,25325855,,4206590,3428537,36616,684970,948418,15040681,980043
1924,Fuji,25162023,580427,2134687,1301921,545702,1077485,80506,18637623,803672
1924,GrannySmith,24692055,1025507,,566818,482183,247476,42203,21961531,366338
1924,GoldenDelicious,15711298,164673,3107854,1473032,7659,2313220,1116784,5603158,1924919
1924,PinkLady,12300161,331951,98662,239590,242528,204923,224019,9971722,986766
1924,CosmicCrisp,9378167,,,,,,,9378167,
1924,Rome,7032993,,1334180,2123297,,1202141,568368,,1805009
1924,McIntosh,5215475,,1208610,3260884,,19627,5930,,720425
1924,Idared,4716310,,1921667,2194121,,160297,169030,,271195
1924,Empire,4498325,36968,939531,3291352,,30932,9106,,190436
1924,York,4074668,,,153189,,2293938,631174,,996367
1924,Ambrosia,3353785,,,113192,27862,74799,,3122099,15833
1924,Cortland,1506503,,,1061685,,15597,31361,,397859
1924,Mutsu/Crispin,886265,,,814829,,39594,9235,,22607
1924,Jonathan,632141,,515733,67416,232,20334,226,,28199
1924,Spartan,449195,,,336142,,24997,4648,,83408
1924,NewtownPippin,423226,275573,,,23208,2191,12262,,109991
1924,RomeSport,276552,,96420,27082,,22284,,,130766
1924,Stayman,245995,,,29653,,120369,52150,,43823
1924,Braeburn,100338,,33635,38924,,2876,806,,24096
